referencia,ano,mes,variacao_geral,variacao_alimentacao,variacao_habitacao,variacao_artigos_residencia,variacao_vestuario,variacao_transporte,variacao_saude_cuidados_pessoais,variacao_despesas_pessoais,variacao_educacao,variacao_comunicacao,variacao_alimentacao_dec,variacao_habitacao_dec,variacao_artigos_residencia_dec,variacao_vestuario_dec,variacao_transporte_dec,variacao_saude_cuidados_pessoais_dec,variacao_despesas_pessoais_dec,variacao_educacao_dec,variacao_comunicacao_dec,consolidado_ano,identificador_ibge
2017-04,2017,04,0.14,0.58,-1.09,-0.28,0.48,-0.06,1,0.09,0.03,0.55,0.11194,-0.17004000000000002,-0.01064,0.02208,-0.01236,0.135,0.00963,0.0018299999999999998,0.03135,false,Num201704
2017-05,2017,05,0.31,-0.35,2.14,-0.23,0.98,-0.42,0.62,0.23,0.08,0.09,-0.06755,0.33384,-0.00874,0.045079999999999995,-0.08651999999999999,0.08370000000000001,0.02461,0.00488,0.00513,false,Num201705
2017-06,2017,06,-0.23,-0.5,-0.77,-0.07,0.21,-0.52,0.46,0.33,0.08,0.09,-0.0965,-0.12012,-0.00266,0.00966,-0.10711999999999999,0.06210000000000001,0.03531,0.00488,0.00513,false,Num201706
2017-07,2017,07,0.24,-0.47,1.64,-0.23,-0.42,0.34,0.37,0.36,-0.02,-0.02,-0.09071,0.25584,-0.00874,-0.01932,0.07004,0.04995,0.03852,-0.00122,-0.0011400000000000002,false,Num201707
2017-08,2017,08,0.19,-1.07,0.57,0.2,0.29,1.53,0.41,0.29,0.24,-0.56,-0.20651000000000003,0.08892,0.0076,0.01334,0.31518,0.05535,0.03103,0.014639999999999999,-0.031920000000000004,false,Num201708
2017-09,2017,09,0.16,-0.41,-0.12,0.13,0.28,0.79,0.32,0.56,0.04,0.5,-0.07912999999999999,-0.01872,0.00494,0.01288,0.16274,0.0432,0.05992000000000001,0.00244,0.0285,false,Num201709
2017-10,2017,10,0.42,-0.05,1.33,-0.39,0.71,0.49,0.52,0.32,0.06,0.4,-0.00965,0.20748,-0.01482,0.032659999999999995,0.10093999999999999,0.07020000000000001,0.03424,0.0036599999999999996,0.0228,false,Num201710
2017-11,2017,11,0.28,-0.38,1.27,-0.45,0.1,0.52,0.34,0.42,0.03,0.15,-0.07334,0.19812,-0.0171,0.0046,0.10711999999999999,0.0459,0.04494,0.0018299999999999998,0.00855,false,Num201711
2017-12,2017,12,0.44,0.54,-0.4,0.03,0.84,1.23,0.4,0.42,0.15,-0.11,0.10422000000000001,-0.062400000000000004,0.00114,0.03864,0.25338,0.054000000000000006,0.04494,0.00915,-0.00627,true,Num201712
2018-01,2018,01,0.29,0.74,-0.85,0.14,-0.98,1.1,0.42,0.22,0.22,0.11,0.14282,-0.1326,0.00532,-0.045079999999999995,0.2266,0.0567,0.02354,0.01342,0.00627,false,Num201801
2018-02,2018,02,0.32,-0.33,0.22,0.03,-0.38,0.74,0.38,0.17,3.89,0.05,-0.06369000000000001,0.03432,0.00114,-0.01748,0.15244,0.051300000000000005,0.01819,0.23729,0.00285,false,Num201802
2018-03,2018,03,0.09,0.07,0.19,0.08,0.33,-0.25,0.48,0.05,0.28,-0.33,0.013510000000000001,0.02964,0.00304,0.01518,-0.0515,0.0648,0.005350000000000001,0.01708,-0.01881,false,Num201803
2018-04,2018,04,0.22,0.09,0.17,0.22,0.62,0,0.91,0.12,0.08,-0.07,0.01737,0.026520000000000002,0.00836,0.02852,0,0.12285000000000001,0.012839999999999999,0.00488,-0.0039900000000000005,false,Num201804
2018-05,2018,05,0.4,0.32,0.83,-0.06,0.58,0.4,0.57,0.11,0.06,0.16,0.06176,0.12947999999999998,-0.00228,0.02668,0.0824,0.07695,0.01177,0.0036599999999999996,0.009120000000000001,false,Num201805
