referencia,estado,municipio,poluente_emitido,quantidade
2013,MINAS GERAIS,OLIVEIRA,Monóxido de carbono (CO),0.01
2013,BAHIA,PARATINGA,Material Particulado (MP),0.01
2013,MINAS GERAIS,JUIZ DE FORA,Monóxido de carbono (CO),145.13
2013,GOIAS,CATALAO,Material Particulado (MP),28.33
2013,BAHIA,ILHEUS,Óxidos de nitrogênio (NOx),3.46
2013,SANTA CATARINA,CORUPA,Material Particulado (MP),79.5
2013,PARANA,SAO MATEUS DO SUL,Material Particulado (MP),37.58
2013,SAO PAULO,PRESIDENTE PRUDENTE,Monóxido de carbono (CO),186.63
2013,GOIAS,BURITI ALEGRE,Óxidos de nitrogênio (NOx),3.69
2013,CEARA,AQUIRAZ,Óxidos de nitrogênio (NOx),0.01
2013,SAO PAULO,AVARE,"Xilenos (O-xileno, m-xileno ou p-xileno)",4004
2013,PARANA,PIRAI DO SUL,Óxidos de enxofre (SOx),125.64
2013,PERNAMBUCO,ARARIPINA,Material Particulado (MP),4071.2800000000007
2013,PARA,PARAUAPEBAS,Monóxido de carbono (CO),5
2013,ESPIRITO SANTO,GUACUI,Material Particulado (MP),0.02
2013,SAO PAULO,CARAGUATATUBA,Material Particulado (MP),42.47
2013,ESPIRITO SANTO,MANTENOPOLIS,Material Particulado (MP),9236.59
2013,SAO PAULO,PLANALTO,Material Particulado (MP),27.509999999999998
2013,SAO PAULO,ITU,Óxidos de nitrogênio (NOx),3.48
2013,MINAS GERAIS,SANTANA DO PARAISO,Material Particulado (MP),10001
2013,MINAS GERAIS,DIVINOPOLIS,Material Particulado (MP),2605.9100000000003
2013,SAO PAULO,BURI,Material Particulado (MP),0.1
2013,RIO GRANDE DO SUL,CAMAQUA,Material Particulado (MP),450020.27999999997
2013,RIO GRANDE DO SUL,CACAPAVA DO SUL,Óxidos de enxofre (SOx),3.12
2013,SAO PAULO,ITAPECERICA DA SERRA,Material Particulado (MP),0.01
2013,SANTA CATARINA,SANGAO,Óxidos de enxofre (SOx),8.95
2013,MINAS GERAIS,CLARO DOS POCOES,Material Particulado (MP),0.03
2013,ALAGOAS,ARAPIRACA,Monóxido de carbono (CO),126.54
2013,RIO GRANDE DO SUL,PORTAO,Óxidos de enxofre (SOx),0.24000000000000002
2013,MATO GROSSO,NOVA MUTUM,Óxidos de nitrogênio (NOx),91.22
2013,MATO GROSSO DO SUL,BODOQUENA,Monóxido de carbono (CO),58.37
2013,MINAS GERAIS,CANDEIAS,Material Particulado (MP),0.25
2013,RIO GRANDE DO SUL,CAXIAS DO SUL,Óxidos de nitrogênio (NOx),7.569999999999999
2013,SAO PAULO,COTIA,Cloreto de hidrogênio (ácido clorídrico),52.56
2013,SANTA CATARINA,RIO DO SUL,Material Particulado (MP),17.32
2013,SAO PAULO,BATATAIS,Monóxido de carbono (CO),52.71
2013,SANTA CATARINA,JAGUARUNA,Óxidos de enxofre (SOx),14.04
2013,MINAS GERAIS,CORDISBURGO,Material Particulado (MP),0.24
2013,SANTA CATARINA,JACINTO MACHADO,Material Particulado (MP),269.77
2013,SANTA CATARINA,VARGEM BONITA,Óxidos de enxofre (SOx),6.59
2013,PERNAMBUCO,BOM CONSELHO,Material Particulado (MP),40.01
2013,AMAPA,FERREIRA GOMES,Material Particulado (MP),5
2013,MINAS GERAIS,CAPINOPOLIS,Material Particulado (MP),887.6
2013,MATO GROSSO DO SUL,PORTO MURTINHO,Óxidos de nitrogênio (NOx),53.8
2013,SAO PAULO,BARRA BONITA,Óxidos de nitrogênio (NOx),432.09
2013,SAO PAULO,ARACATUBA,Dióxido de enxofre,10.1
2013,MINAS GERAIS,SALINAS,Monóxido de carbono (CO),1.88
2013,SAO PAULO,ELIAS FAUSTO,Óxidos de nitrogênio (NOx),194.72
2013,CEARA,ACOPIARA,Monóxido de carbono (CO),0
2013,MINAS GERAIS,CABECEIRA GRANDE,Monóxido de carbono (CO),0.05
2013,PARA,PACAJA,Monóxido de carbono (CO),1.7
2013,SAO PAULO,ARTUR NOGUEIRA,Material Particulado (MP),10.6
2013,PARANA,RIO BRANCO DO SUL,Óxidos de nitrogênio (NOx),3371.0199999999995
2013,SANTA CATARINA,CACADOR,Monóxido de carbono (CO),17776.26
2013,BAHIA,DIAS D'AVILA,Óxidos de nitrogênio (NOx),28727.44
2013,SAO PAULO,IACANGA,Óxidos de nitrogênio (NOx),246.59
2013,PARANA,SANTA CRUZ DE MONTE CASTELO,Material Particulado (MP),0.01
2013,RIO GRANDE DO SUL,CAMPO BOM,Monóxido de carbono (CO),0.03
2013,MATO GROSSO DO SUL,SELVIRIA,Monóxido de carbono (CO),0.04
2013,SANTA CATARINA,SAO BENTO DO SUL,Material Particulado (MP),334.5299999999999
2013,RONDONIA,GUAJARA-MIRIM,Material Particulado (MP),1
2013,MINAS GERAIS,ITAUNA,Óxidos de enxofre (SOx),4064.36
2013,BAHIA,ITABUNA,Monóxido de carbono (CO),821.4499999999999
2013,PERNAMBUCO,IPUBI,Material Particulado (MP),120456.16
2013,MINAS GERAIS,CARANDAI,Material Particulado (MP),41.99
2013,RIO GRANDE DO SUL,PEDRO OSORIO,Óxidos de enxofre (SOx),0.01
2013,AMAZONAS,PRESIDENTE FIGUEIREDO,Monóxido de carbono (CO),82.69
2013,BAHIA,PALMAS DE MONTE ALTO,Óxidos de nitrogênio (NOx),0.02
2013,MINAS GERAIS,CLAUDIO,Monóxido de carbono (CO),5.11
2013,RIO GRANDE DO SUL,PALMITINHO,Material Particulado (MP),75.16
2013,SANTA CATARINA,JARAGUA DO SUL,Monóxido de carbono (CO),9273.060000000001
2013,CEARA,CHOROZINHO,Monóxido de carbono (CO),0.1
2013,MATO GROSSO DO SUL,SONORA,Material Particulado (MP),0.36
2013,ALAGOAS,SAO MIGUEL DOS CAMPOS,Material Particulado (MP),627.26
2013,SANTA CATARINA,TREVISO,Material Particulado (MP),306.32
2013,RIO DE JANEIRO,PATY DO ALFERES,Material Particulado (MP),0.9
2013,RIO DE JANEIRO,SAO JOAO DA BARRA,Óxidos de nitrogênio (NOx),105259.39
2013,SAO PAULO,JALES,Monóxido de carbono (CO),2
2013,SAO PAULO,PARAGUACU PAULISTA,Material Particulado (MP),901.88
2013,RIO DE JANEIRO,MIGUEL PEREIRA,Material Particulado (MP),0.45
2013,ALAGOAS,SAO LUIS DO QUITUNDE,Material Particulado (MP),1262.76
2013,MATO GROSSO DO SUL,PONTA PORA,Monóxido de carbono (CO),116.88
2013,MINAS GERAIS,CURVELO,Monóxido de carbono (CO),0.27
2013,SAO PAULO,BOCAINA,Material Particulado (MP),63.88
2013,SANTA CATARINA,CRICIUMA,Material Particulado (MP),674694.91
2013,CEARA,PARAIPABA,Monóxido de carbono (CO),23.51
2013,MATO GROSSO,BARRA DO BUGRES,Monóxido de carbono (CO),5
2013,BAHIA,SAO GONCALO DOS CAMPOS,Óxidos de enxofre (SOx),1.9
2013,SANTA CATARINA,JOINVILLE,Óxidos de nitrogênio (NOx),177.24000000000004
2013,RIO GRANDE DO SUL,PEDRO OSORIO,Óxidos de nitrogênio (NOx),0.24
2013,CEARA,SOBRAL,Monóxido de carbono (CO),83.39
2013,SAO PAULO,OURINHOS,Material Particulado (MP),326000
2013,RIO GRANDE DO SUL,ESTANCIA VELHA,Material Particulado (MP),40.519999999999996
2013,MINAS GERAIS,LIMA DUARTE,Material Particulado (MP),19.21
