referencia,estado,poluente_emitido,quantidade
2013,PERNAMBUCO,Material Particulado (MP),1272802.68
2018,MARANHAO,Óxidos de enxofre (SOx),12959.77
2014,RONDONIA,Material Particulado (MP),1690746.3700000003
2021,MATO GROSSO,Óxidos de enxofre (SOx),2985.29
2022,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),144
2018,RIO GRANDE DO SUL,Monóxido de carbono (CO),4395627.390000001
2015,AMAPA,Óxidos de enxofre (SOx),98.34
2020,AMAPA,Óxidos de nitrogênio (NOx),4.25
2018,MATO GROSSO,Óxidos de enxofre (SOx),495.37000000000006
2016,SERGIPE,Material Particulado (MP),755.44
2015,ALAGOAS,Óxidos de nitrogênio (NOx),23368.99
2013,SANTA CATARINA,Partículas (PM10),13.97
2015,RIO GRANDE DO SUL,Material Particulado (MP),1847754.6400000046
2015,RONDONIA,Monóxido de carbono (CO),107474.3
2017,MATO GROSSO,Monóxido de carbono (CO),251731.05000000005
2014,SERGIPE,Óxidos de enxofre (SOx),4862.89
2013,ALAGOAS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",422837
2017,GOIAS,Material Particulado (MP),546212.2600000002
2014,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),434985.04999999993
2019,ACRE,Monóxido de carbono (CO),10092.26
2014,PARAIBA,Monóxido de carbono (CO),12572.299999999997
2013,RIO DE JANEIRO,Partículas (PM10),61.89
2022,MINAS GERAIS,Monóxido de carbono (CO),90436.93
2013,GOIAS,Dióxido de enxofre,200797.03000000003
2015,RORAIMA,Material Particulado (MP),2
2017,SAO PAULO,Monóxido de carbono (CO),1365998.4500000037
2017,RIO GRANDE DO SUL,Monóxido de carbono (CO),55022255.00999998
2019,BAHIA,Óxidos de nitrogênio (NOx),51752.66000000005
2016,PARANA,Monóxido de carbono,35.48
2018,BAHIA,Dióxido de enxofre,0
2018,ACRE,Óxidos de nitrogênio (NOx),5070
2019,MATO GROSSO DO SUL,Dióxido de enxofre,0
2021,RORAIMA,Óxidos de nitrogênio (NOx),20.57
2019,PARAIBA,Óxidos de nitrogênio (NOx),9705.980000000001
2018,DISTRITO FEDERAL,Material Particulado (MP),231.32000000000005
2013,RIO GRANDE DO SUL,Material Particulado (MP),521913.49000000005
2018,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),36388.54000000001
2021,ACRE,Material Particulado (MP),361.96000000000004
2020,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),487.47999999999996
2021,TOCANTINS,Óxidos de nitrogênio (NOx),1264.1699999999998
2016,MATO GROSSO DO SUL,Dióxido de enxofre,0
2015,PARAIBA,Monóxido de carbono (CO),16660.449999999997
2020,PARAIBA,Monóxido de carbono (CO),53563.92
2014,MINAS GERAIS,Monóxido de carbono (CO),129736064.56000009
2016,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",320.4
2020,RORAIMA,Óxidos de nitrogênio (NOx),23.7
2022,SANTA CATARINA,Óxidos de nitrogênio (NOx),4985.41
2017,ALAGOAS,Material Particulado (MP),95612.35000000002
2014,MINAS GERAIS,Desperdício e resíduos de estanho,0.05
2016,PERNAMBUCO,Óxidos de nitrogênio (NOx),983244.1700000002
2014,AMAZONAS,Poeiras de zinco,1.65
2015,BAHIA,Dióxido de enxofre,1785
2013,PIAUI,Óxidos de nitrogênio (NOx),1.4
2013,MATO GROSSO,Dióxido de enxofre,0.51
2015,MATO GROSSO DO SUL,Material Particulado (MP),207156.13000000003
2016,TOCANTINS,Óxidos de nitrogênio (NOx),2788.7799999999997
2017,SAO PAULO,Dióxido de enxofre,110
2018,RIO GRANDE DO NORTE,Monóxido de carbono (CO),8116143.43
2018,MINAS GERAIS,Compostos orgânicos voláteis não metânicos(COVNM),0.04
2013,DISTRITO FEDERAL,Dióxido de enxofre,1020.99
2015,SAO PAULO,Material Particulado (MP),4946021.08999999
2015,MINAS GERAIS,Material Particulado (MP),2605324.3899999857
2019,BAHIA,Monóxido de carbono (CO),255799.89000000028
2017,SAO PAULO,Compostos orgânicos voláteis não metânicos(COVNM),1.43
2020,BAHIA,Monóxido de carbono,0.1
2013,PARANA,Dióxido de enxofre,5.72
2015,RONDONIA,Óxidos de nitrogênio (NOx),3481.72
2019,SERGIPE,Material Particulado (MP),552.58
2014,MINAS GERAIS,Dióxido de enxofre,0.5
2021,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),736.1
2022,SAO PAULO,Óxidos de nitrogênio (NOx),3199.2900000000004
2020,BAHIA,Fluoreto de hidrogênio (ácido fluorídrico),0.1
2021,GOIAS,Monóxido de carbono (CO),9414772.39
2015,PARANA,Óxidos de nitrogênio (NOx),358829.3100000003
2015,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),17006.56
2013,PARAIBA,Material Particulado (MP),28560.219999999998
2016,PIAUI,Monóxido de carbono (CO),618769.86
2022,GOIAS,Monóxido de carbono (CO),1759.4999999999998
2020,PIAUI,Óxidos de nitrogênio (NOx),396.57000000000005
2016,PARA,Óxidos de enxofre (SOx),34357.86
2016,DISTRITO FEDERAL,Monóxido de carbono (CO),1451.8000000000002
2018,MATO GROSSO,Óxidos de nitrogênio (NOx),5149.74
2017,SERGIPE,Material Particulado (MP),183735.24000000002
2019,ESPIRITO SANTO,Óxidos de enxofre (SOx),28675.19
2019,MARANHAO,Óxidos de nitrogênio (NOx),7936.030000000001
2015,MATO GROSSO DO SUL,Dióxido de enxofre,0
2013,PIAUI,Monóxido de carbono (CO),386.01
2015,DISTRITO FEDERAL,Material Particulado (MP),342.30999999999995
2014,RIO GRANDE DO SUL,Monóxido de carbono (CO),2854097.7599999993
2014,ALAGOAS,Material Particulado (MP),103781.99
2020,ESPIRITO SANTO,Óxidos de enxofre (SOx),20101.94
2013,RIO GRANDE DO NORTE,Monóxido de carbono,623.41
2022,RIO GRANDE DO SUL,Material Particulado (MP),470.50999999999993
2015,MATO GROSSO,Óxidos de enxofre (SOx),1199.48
2014,PERNAMBUCO,Óxidos de enxofre (SOx),302076.94000000006
2014,AMAPA,Óxidos de nitrogênio (NOx),2315.46
2022,CEARA,Óxidos de nitrogênio (NOx),23541.280000000006
2014,GOIAS,Dióxido de enxofre,1718.4
2020,RIO DE JANEIRO,Monóxido de carbono (CO),253703.6200000002
2014,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),319203.94
2013,PARA,Óxidos de nitrogênio (NOx),13758.559999999996
2014,PARA,Material Particulado (MP),280749.8999999999
2020,AMAZONAS,Material Particulado (MP),45553618292.68001
2016,MINAS GERAIS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1
2018,RIO GRANDE DO NORTE,Material Particulado (MP),3172987.140000001
2020,CEARA,Material Particulado (MP),470795.6400000006
2017,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),23936.009999999995
2016,AMAZONAS,Material Particulado (MP),44625202.11999999
2015,AMAPA,Óxidos de nitrogênio (NOx),1353.92
2014,SERGIPE,Material Particulado (MP),1010.3
2016,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),2059.9700000000003
2014,MATO GROSSO DO SUL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",0
2013,RIO GRANDE DO SUL,Dióxido de enxofre,75445.14
2016,SAO PAULO,Óxidos de enxofre (SOx),90861.39999999986
2020,SAO PAULO,Óxidos de enxofre (SOx),37982.389999999985
2021,RIO GRANDE DO SUL,Monóxido de carbono (CO),2628524.5099999984
2019,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),28330.39000000001
2015,PARA,Óxidos de enxofre (SOx),37340.890000000014
2018,RIO DE JANEIRO,Material Particulado (MP),15038094.749999998
2014,AMAZONAS,Óxidos de enxofre (SOx),50444582.059999995
2015,SERGIPE,Material Particulado (MP),6755.280000000001
2015,SAO PAULO,Óxidos de nitrogênio (NOx),2324569.7500000005
2013,GOIAS,Material Particulado (MP),1329728.6700000006
2021,RIO DE JANEIRO,Monóxido de carbono (CO),378217.6800000001
2014,RORAIMA,Monóxido de carbono (CO),0.1
2022,RIO DE JANEIRO,Óxidos de enxofre (SOx),20.89
2020,BAHIA,Partículas (PM10),0.62
2013,DISTRITO FEDERAL,Monóxido de carbono,8.18
2019,MATO GROSSO,Óxidos de nitrogênio (NOx),992741.8300000002
2018,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),195307.34000000005
2020,CEARA,Monóxido de carbono,232.9
2013,MINAS GERAIS,Poeiras de zinco,145.72
2016,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),23779.579999999987
2019,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),37832.65
2014,SERGIPE,Monóxido de carbono (CO),1585.1200000000001
2018,PARAIBA,Óxidos de nitrogênio (NOx),10200.72
2013,SANTA CATARINA,Óxido nitroso,4
2013,ALAGOAS,Material Particulado (MP),105704.51
2015,SAO PAULO,Partículas (PM10),6530.040000000001
2019,RORAIMA,Material Particulado (MP),5.26
2014,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",546642.74
2016,RIO DE JANEIRO,Material Particulado (MP),50761378.56000003
2013,RIO GRANDE DO NORTE,Material Particulado (MP),8026.030000000003
2014,SANTA CATARINA,Dióxido de enxofre,0.19
2015,GOIAS,Óxidos de enxofre (SOx),42504.81
2022,CEARA,Material Particulado (MP),75072.87999999998
2018,PIAUI,Óxidos de enxofre (SOx),15.61
2014,SAO PAULO,Partículas (PM10),6552.460000000001
2020,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),2566.0900000000006
2019,PIAUI,Monóxido de carbono (CO),817795.2100000001
2022,RONDONIA,Material Particulado (MP),8.97
2015,DISTRITO FEDERAL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",439.99
2018,ACRE,Monóxido de carbono (CO),10093.63
2016,SERGIPE,Óxidos de nitrogênio (NOx),8150.37
2016,SANTA CATARINA,Material Particulado (MP),316035.25000000035
2017,SAO PAULO,Óxidos de enxofre (SOx),62444.66000000002
2021,MINAS GERAIS,Óxidos de nitrogênio (NOx),75375.55999999994
2016,SERGIPE,Óxidos de enxofre (SOx),4405.95
2017,MINAS GERAIS,Material Particulado (MP),8881830.54999999
2014,BAHIA,Óxidos de enxofre (SOx),1763158.2800000005
2018,ESPIRITO SANTO,Monóxido de carbono (CO),257101.96000000008
2015,PIAUI,Óxidos de nitrogênio (NOx),120.43
