referencia,estado,poluente_emitido,quantidade
2013,PERNAMBUCO,Monóxido de carbono (CO),60779.620000000024
2022,PARANA,Óxidos de enxofre (SOx),148.41
2017,ACRE,Material Particulado (MP),128.83
2021,ALAGOAS,Material Particulado (MP),3490.1799999999994
2013,MINAS GERAIS,Compostos orgânicos voláteis não metânicos(COVNM),27247.18
2016,SAO PAULO,Eter etilico do etilenoglicol,1
2014,GOIAS,Outros fluoretos,345328.50000000006
2013,MINAS GERAIS,Monóxido de carbono (CO),278466932.41999996
2020,PARANA,Óxidos de enxofre (SOx),12656.790000000003
2020,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),376364.16999999987
2015,MINAS GERAIS,Partículas (PM10),0.01
2018,AMAPA,Material Particulado (MP),130
2013,SAO PAULO,o-diclorobenzeno,2391
2019,PARANA,Monóxido de carbono (CO),267475.2499999998
2020,PARAIBA,Óxidos de enxofre (SOx),3645.9199999999996
2022,MATO GROSSO DO SUL,Monóxido de carbono (CO),2092.02
2017,AMAZONAS,Óxidos de nitrogênio (NOx),9988.88
2019,AMAZONAS,Material Particulado (MP),840093997.9699998
2020,AMAZONAS,Óxidos de nitrogênio (NOx),103703374115.77998
2016,AMAPA,Material Particulado (MP),10.56
2014,DISTRITO FEDERAL,Dióxido de enxofre,1020.99
2020,BAHIA,Material Particulado (MP),142357.16999999998
2021,PERNAMBUCO,Óxidos de enxofre (SOx),460775.0600000001
2018,GOIAS,Monóxido de carbono (CO),93944044.96
2020,RONDONIA,Material Particulado (MP),20273.839999999993
