referencia,estado,municipio,quantidade
2016,RIO DE JANEIRO,AREAL,144.16
2019,MATO GROSSO DO SUL,BRASILANDIA,36.98
2021,MINAS GERAIS,PARAISOPOLIS,19.56
2020,MINAS GERAIS,IPUIUNA,7.109999999999999
2014,PARAIBA,ALAGOA GRANDE,2.71
2021,RIO GRANDE DO SUL,FAXINAL DO SOTURNO,22.65
2021,PARAIBA,PICUI,500
2021,RIO GRANDE DO SUL,CAPAO DO CIPO,1.5
2019,RIO GRANDE DO SUL,FARROUPILHA,2792.1500000000015
2018,MINAS GERAIS,MATEUS LEME,465.13999999999993
2021,MINAS GERAIS,BELO ORIENTE,3527.02
2013,MATO GROSSO DO SUL,BELA VISTA,272
2015,ESPIRITO SANTO,IUNA,0.02
2021,PARANA,PARANACITY,404.29999999999995
2018,PARANA,IBEMA,38.2
2018,PARANA,PALMAS,12360.23
2014,SAO PAULO,IPEUNA,21.11
2018,RIO GRANDE DO NORTE,PARELHAS,487.6499999999999
2020,RIO GRANDE DO SUL,NONOAI,1480
2019,SANTA CATARINA,CORUPA,93.88000000000001
2015,ESPIRITO SANTO,VENDA NOVA DO IMIGRANTE,10.379999999999999
2014,MINAS GERAIS,ABADIA DOS DOURADOS,1.4
2018,PARANA,COLOMBO,698.8799999999999
2016,SANTA CATARINA,DESCANSO,0.2
2018,MINAS GERAIS,ITAVERAVA,1
2013,SANTA CATARINA,ITA,203.36
2019,MARANHAO,PRESIDENTE DUTRA,0.3
2019,ALAGOAS,SAO LUIS DO QUITUNDE,3052.4000000000005
2014,RIO GRANDE DO SUL,ITAARA,1.79
2013,SAO PAULO,HORTOLANDIA,581.5299999999997
2021,SANTA CATARINA,TIMBO,1461.93
2020,MINAS GERAIS,CONCEICAO DO PARA,8.42
2020,MINAS GERAIS,POUSO ALEGRE,306.03999999999996
2014,PARAIBA,JUAZEIRINHO,1.54
2021,SANTA CATARINA,CAMPOS NOVOS,113.1
2013,RONDONIA,CUJUBIM,8512.5
2015,SAO PAULO,OSVALDO CRUZ,74.7
2015,PARA,ALMEIRIM,32639.980000000003
2019,MINAS GERAIS,ARACUAI,145.11
2016,ESPIRITO SANTO,VITORIA,65569.79999999999
2014,ACRE,CRUZEIRO DO SUL,238
2017,SAO PAULO,UCHOA,2
2020,MINAS GERAIS,URUCANIA,12578
2021,MATO GROSSO DO SUL,SANTA RITA DO PARDO,0.05
2019,RIO DE JANEIRO,ITAOCARA,6.989999999999999
2019,MATO GROSSO,AGUA BOA,512.14
2021,SERGIPE,ITABAIANINHA,3.4799999999999995
2019,SERGIPE,SAO CRISTOVAO,7.73
2013,RIO DE JANEIRO,ITABORAI,0.03
2017,RIO GRANDE DO NORTE,ALTO DO RODRIGUES,3838.2400000000007
2020,RIO GRANDE DO SUL,TRAMANDAI,0.01
2018,PARANA,SERTANOPOLIS,67.4
2013,BAHIA,SAO GONCALO DOS CAMPOS,1.94
2016,GOIAS,ANICUNS,2.01
2020,RIO GRANDE DO SUL,BOM JESUS,0
2017,SAO PAULO,NARANDIBA,1153.07
2015,PARANA,AMPERE,4.07
2018,GOIAS,CATALAO,141232.41999999995
2021,SAO PAULO,AVARE,174.14999999999998
2018,RIO GRANDE DO SUL,CAPELA DE SANTANA,25.900000000000002
2017,MINAS GERAIS,PIRAPETINGA,78.12
2019,CEARA,TIANGUA,395.46000000000004
2016,CEARA,EUSEBIO,64.50999999999999
2020,ALAGOAS,OLHO D'AGUA DAS FLORES,274.01
2015,RIO DE JANEIRO,PORCIUNCULA,2200
2020,SAO PAULO,CAPIVARI,26.49
2021,PARANA,SAO JOSE DOS PINHAIS,1619.39
2015,MINAS GERAIS,SARZEDO,153.61999999999998
2021,SAO PAULO,BOTUCATU,5438.27
2018,SAO PAULO,SAO VICENTE,75.33000000000001
2013,PARAIBA,CAMPINA GRANDE,8.440000000000001
2017,RIO DE JANEIRO,RIO DAS FLORES,0.01
2020,TOCANTINS,COLMEIA,5.25
2014,SANTA CATARINA,RIO DO SUL,106.72
2018,SAO PAULO,SERRANA,479.89
2016,TOCANTINS,LAJEADO,0.5
2014,ESPIRITO SANTO,BOM JESUS DO NORTE,0.28
2017,SAO PAULO,TREMEMBE,33.550000000000004
2018,PARA,SANTANA DO ARAGUAIA,28.619999999999997
2019,MINAS GERAIS,BOCAINA DE MINAS,75
2016,RONDONIA,CHUPINGUAIA,23.82
2021,SAO PAULO,GUARUJA,3.7399999999999998
2018,GOIAS,FAZENDA NOVA,1
2015,RIO GRANDE DO SUL,CAMBARA DO SUL,568.25
2020,GOIAS,RIO VERDE,9062010.9
2019,GOIAS,CRISTALINA,49.89
2015,PARA,OBIDOS,1
2016,SANTA CATARINA,MORRO GRANDE,14.6
2014,SAO PAULO,GUAIRA,81994.55
2017,RORAIMA,BOA VISTA,66.46000000000001
2019,SERGIPE,PACATUBA,699
2021,SAO PAULO,SANTO ANDRE,2256.6299999999997
2018,SAO PAULO,TABATINGA,15.5
2014,SANTA CATARINA,NOVA VENEZA,754.8800000000002
2015,RIO GRANDE DO SUL,VENANCIO AIRES,76.46000000000001
2020,RIO GRANDE DO SUL,SANTA CRUZ DO SUL,362.84
2016,MINAS GERAIS,PASSA QUATRO,4258.379999999999
2019,SAO PAULO,SAO JOSE DOS CAMPOS,15555.620000000004
2018,BAHIA,CAETITE,0.12999999999999998
2019,SAO PAULO,LINS,7949.48
2019,SAO PAULO,SALES OLIVEIRA,28.05
2017,MINAS GERAIS,SAO JOAO DO PARAISO,0.01
2019,SAO PAULO,BOM SUCESSO DE ITARARE,4
2016,SAO PAULO,TABATINGA,13.6
2016,PARANA,PARANAGUA,9575.869999999999
2020,SAO PAULO,MONTE ALEGRE DO SUL,0.8500000000000001
2018,SAO PAULO,BROTAS,1590.81
2014,MINAS GERAIS,GUIRICEMA,0.52
2014,PIAUI,PICOS,0.01
2018,SAO PAULO,BENTO DE ABREU,910.62
2021,SAO PAULO,JOSE BONIFACIO,193.35000000000002
2014,SANTA CATARINA,CAMBORIU,1528.42
2021,PARANA,CAMPO LARGO,223.23000000000002
2019,SAO PAULO,CRUZEIRO,37.160000000000004
2020,RONDONIA,JI-PARANA,11630.74
2016,SAO PAULO,PEDREGULHO,28.21
2021,CEARA,MISSAO VELHA,0.12
2021,RIO DE JANEIRO,QUEIMADOS,3124.28
2016,MINAS GERAIS,TUPACIGUARA,347.70000000000005
2017,PARANA,MARILANDIA DO SUL,0.02
2017,MINAS GERAIS,SAO JOSE DO GOIABAL,0.02
2019,MATO GROSSO DO SUL,ARAL MOREIRA,14.84
2019,MINAS GERAIS,FUNILANDIA,0.01
2014,RIO GRANDE DO SUL,PINHEIRO MACHADO,532.98
2014,MARANHAO,BACABEIRA,60.56
2017,SAO PAULO,SEVERINIA,247.59
2019,RIO GRANDE DO SUL,BUTIA,41.26
2020,BAHIA,SANTO ESTEVAO,0.09999999999999999
2016,ESPIRITO SANTO,SANTA LEOPOLDINA,13.32
2018,MINAS GERAIS,OURO PRETO,76843.51999999999
